x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.6142827,2121.1458,2.3643258,0.70290995,0.10455133,0.07829972,0.12519856,0.071042694
0.6121382,2220.2612,1.8123103,0.7902283,0.09807384,0.09063156,0.089068696,0.052420005
0.62662137,3244.2998,2.2583818,2.6911068,0.18604222,0.092160076,0.07056352,0.0772261
0.6218779,4510.6724,4.1347303,5.5240126,0.17696823,0.09311851,0.08390833,0.06326481
0.5642393,3053.608,0.90346,1.1316851,0.12973525,0.1191024,0.12861523,0.073433004
0.566678,4646.7603,1.3695145,2.9201317,0.18044709,0.12966524,0.06778702,0.0647765
0.6910031,3012.736,1.5864388,5.996976,0.10415043,0.12103979,0.08486857,0.06439501
0.6907199,3080.694,1.4764657,5.737285,0.10785713,0.114622764,0.082885794,0.06303457
0.5929448,4091.4502,2.4880877,3.0862858,0.08677245,0.09444716,0.086703524,0.082582004
0.66026187,2717.753,1.6310586,2.5233116,0.082627304,0.104368076,0.068002604,0.08337451
0.64863515,3262.7957,1.4028004,3.3275218,0.18845634,0.11454968,0.08174186,0.05819133
0.60657066,2564.4167,1.6592506,1.0773622,0.18056892,0.11602064,0.083907925,0.06493322
