x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.68111444,3769.296,0.87317264,10.8355665,0.3530178,0.06412755,0.10386011,0.0754931
0.6657911,3672.4592,2.2803578,7.521853,0.31722528,0.043218613,0.038297493,0.11020008
0.6229104,4593.167,1.6371491,6.482181,0.21053456,0.24691613,0.13500148,0.03787306
0.65545684,1540.7687,2.141613,0.47711504,0.09584284,0.036762383,0.053611137,0.077555165
0.68133104,1887.6364,0.2919978,1.1930329,0.0786991,0.04275503,0.06709162,0.13755725
0.652613,1800.207,0.44932103,0.7585419,0.06067414,0.03945265,0.08176878,0.12741828
0.5072225,1582.9684,1.248763,0.17737707,0.13503,0.04625863,0.07466286,0.15007496
0.53714746,1407.2072,0.9385301,0.155174,0.14171882,0.04993399,0.072909124,0.1427721
0.6644134,2137.7751,2.994067,1.4867501,0.14324345,0.08429005,0.043731365,0.09888792
0.59396386,2259.615,0.9566181,0.7678827,0.2855296,0.055414177,0.11675285,0.061358776
0.5995711,2214.0369,0.9682638,0.79942024,0.27907062,0.053533312,0.1110794,0.060648248
0.54274654,1666.6897,2.5196383,0.2276391,0.1844688,0.09978201,0.1870331,0.1245581
0.64154357,1873.1936,1.5564641,0.806099,0.2355964,0.13783191,0.19394164,0.19078922
0.622339,3125.499,1.6465772,2.465896,0.16424069,0.06571597,0.03368588,0.0626214
0.5722948,4458.943,1.0743809,2.9134655,0.1448904,0.07515213,0.03904577,0.06076014
0.62411857,2110.619,3.2892482,0.81093514,0.13852926,0.06752285,0.05762825,0.09774777
0.5924831,3463.6921,1.9958051,1.923237,0.097970776,0.108895905,0.06255742,0.11656407
0.5765106,2656.2478,0.8875094,0.98027575,0.09809739,0.09249974,0.040943906,0.11923466
0.6620093,4183.8843,2.5325253,10.745283,0.08096951,0.2848585,0.05492028,0.24340302
0.6240083,5751.04,3.0538814,11.24877,0.11633769,0.18463129,0.08364776,0.21277063
0.67116344,3069.2603,0.8946274,4.2340903,0.07092583,0.09862946,0.10478363,0.056099903
0.6000456,4177.352,3.135345,4.2426095,0.07556886,0.042600248,0.07156742,0.17638513
0.68311054,2916.0962,0.8496342,4.426892,0.049753167,0.08072152,0.037200615,0.18339987
0.6153202,1459.539,0.5415063,0.28332934,0.082563855,0.03478661,0.08216434,0.17773038
0.6195018,4544.1167,2.0420034,7.0133247,0.059486847,0.0720511,0.06598585,0.24566539
0.6286265,4505.47,1.861334,6.6199026,0.055841263,0.0761931,0.061725862,0.31911492
0.6310732,3783.5186,2.1623328,5.0397797,0.042719115,0.06651909,0.065962814,0.19487809
